,r3,a21
120,5.33170256656869e-08,3.2765699838559976e-05
121,5.326937784835838e-08,3.272630275254811e-05
122,5.326937784835838e-08,3.272630275254811e-05
123,5.326937784835838e-08,3.272630275254811e-05
124,5.326937784835838e-08,3.272630275254811e-05
125,5.326937784835838e-08,3.272630275254811e-05
126,5.3258767260142555e-08,3.270734088133869e-05
127,5.3265770612832356e-08,3.271098073518518e-05
128,5.33042251778912e-08,3.274504651625627e-05
129,5.33042251778912e-08,3.274504651625627e-05
130,5.3290903281577756e-08,3.2733126620096996e-05
131,5.3290903281577756e-08,3.2733126620096996e-05
132,5.3290903281577756e-08,3.2733126620096996e-05
133,5.331245577465789e-08,3.274788690046699e-05
134,5.332773398209423e-08,3.276070231363541e-05
135,5.332773398209423e-08,3.276070231363541e-05
136,5.332773398209423e-08,3.276070231363541e-05
137,5.332773398209423e-08,3.276070231363541e-05
138,5.332773398209423e-08,3.276070231363541e-05
139,5.332773398209423e-08,3.276070231363541e-05
140,5.332152028311838e-08,3.276367143563676e-05
141,5.331257045992075e-08,3.2757616289926554e-05
142,5.331257045992075e-08,3.2757616289926554e-05
143,5.331257045992075e-08,3.2757616289926554e-05
144,5.331237128918109e-08,3.275329117635832e-05
145,5.3271804641034315e-08,3.272326677921572e-05
146,5.3271804641034315e-08,3.272326677921572e-05
147,5.3271804641034315e-08,3.272326677921572e-05
148,5.3271804641034315e-08,3.272326677921572e-05
149,5.331619929051842e-08,3.275713104552969e-05
150,5.331619929051842e-08,3.275713104552969e-05
151,5.328657549152843e-08,3.273440104448038e-05
152,5.3259828952106405e-08,3.271737970992452e-05
153,5.331478643940185e-08,3.2767403675865934e-05
154,5.332070526949529e-08,3.276479171781139e-05
155,5.3312183346535026e-08,3.275611921754148e-05
156,5.3312183346535026e-08,3.275611921754148e-05
157,5.3291547056886676e-08,3.274139399024483e-05
158,5.3314921137469314e-08,3.276234047347153e-05
159,5.331985740388931e-08,3.275708430307911e-05
160,5.3270683553957975e-08,3.272732238997613e-05
161,5.3234212513062944e-08,3.269954975958627e-05
162,5.3234212513062944e-08,3.269954975958627e-05
163,5.324771804873385e-08,3.271682393794027e-05
164,5.3159424865057685e-08,3.264750339736116e-05
165,5.325150537257777e-08,3.2720170907932526e-05
166,5.329849547291093e-08,3.2751288394363e-05
167,5.326255386129099e-08,3.272260215356593e-05
168,5.3246639880751576e-08,3.2702677213071726e-05
169,5.326523524002866e-08,3.2714767814371035e-05
170,5.326123128196841e-08,3.272629374474089e-05
171,5.3224557365754004e-08,3.2693720696281306e-05
172,5.32771490503843e-08,3.273982084781824e-05
173,5.32423868722084e-08,3.271803085083887e-05
174,5.3187868715165035e-08,3.266741929578244e-05
175,5.3187868715165035e-08,3.266741929578244e-05
176,5.3187868715165035e-08,3.266741929578244e-05
177,5.3187868715165035e-08,3.266741929578244e-05
178,5.3187868715165035e-08,3.266741929578244e-05
179,5.311422191137255e-08,3.2610874883984074e-05
180,5.313460145435437e-08,3.264306497227468e-05
181,5.313460145435437e-08,3.264306497227468e-05
182,5.306124148217998e-08,3.259165169724634e-05
183,5.321139201730772e-08,3.2714687337295375e-05
184,5.321139201730772e-08,3.2714687337295375e-05
185,5.307531368173757e-08,3.260288180951661e-05
186,5.317807131355244e-08,3.266337263540874e-05
187,5.317807131355244e-08,3.266337263540874e-05
188,5.310859089817683e-08,3.26198200748412e-05
189,5.306953891961813e-08,3.259456952631327e-05
190,5.293416142408686e-08,3.25068549718798e-05
191,5.293416142408686e-08,3.25068549718798e-05
192,5.293416142408686e-08,3.25068549718798e-05
193,5.293416142408686e-08,3.25068549718798e-05
194,5.2980616183445644e-08,3.2547736161401734e-05
195,5.2980616183445644e-08,3.2547736161401734e-05
196,5.296080264824949e-08,3.2524860399568055e-05
197,5.296080264824949e-08,3.2524860399568055e-05
198,5.301940600245308e-08,3.2552867630293155e-05
199,5.305376602991616e-08,3.257733927897215e-05
200,5.308990422004839e-08,3.2597351758111794e-05
201,5.299759866561832e-08,3.2542616135989845e-05
202,5.305670035647104e-08,3.2590217347225705e-05
203,5.313918657142714e-08,3.263048788310446e-05
204,5.313918657142714e-08,3.263048788310446e-05
205,5.3156246665330724e-08,3.2646513140944496e-05
206,5.3156246665330724e-08,3.2646513140944496e-05
207,5.308494063497071e-08,3.25948006065078e-05
208,5.316702737943206e-08,3.265756252707219e-05
209,5.313317092326344e-08,3.263422102778904e-05
210,5.313179292361253e-08,3.263919433840102e-05
211,5.308299723076598e-08,3.2612094422110646e-05
212,5.30934740399023e-08,3.262095516338378e-05
213,5.3084000511536724e-08,3.260310817486198e-05
214,5.31399766359114e-08,3.263392517434306e-05
215,5.30640725343508e-08,3.258325850743574e-05
216,5.3069731782468035e-08,3.2593448038203405e-05
217,5.3069731782468035e-08,3.2593448038203405e-05
218,5.318181164790202e-08,3.266544869996326e-05
219,5.318181164790202e-08,3.266544869996326e-05
220,5.309274899579215e-08,3.260261802990842e-05
221,5.305597612113056e-08,3.258242183424078e-05
222,5.305597612113056e-08,3.258242183424078e-05
223,5.3170288893286516e-08,3.265165525094947e-05
224,5.29518683536525e-08,3.252410045001775e-05
225,5.298617109866097e-08,3.2528036986157014e-05
226,5.288496638940702e-08,3.247593888061612e-05
227,5.288496638940702e-08,3.247593888061612e-05
228,5.2917409000306326e-08,3.249890645518715e-05
229,5.290613554209094e-08,3.2500719594777805e-05
230,5.307608965987026e-08,3.259245243612166e-05
231,5.307608965987026e-08,3.259245243612166e-05
232,5.313301394880433e-08,3.2648822805998475e-05
233,5.312675961037506e-08,3.2627152116055596e-05
234,5.3221239503423574e-08,3.2690247245867165e-05
235,5.3231205049194474e-08,3.269475496240011e-05
236,5.316813681038328e-08,3.267569417129737e-05
237,5.32215910521501e-08,3.2698914968415734e-05
238,5.32215910521501e-08,3.2698914968415734e-05
239,5.32215910521501e-08,3.2698914968415734e-05
240,5.319265518278249e-08,3.2679252241961994e-05
241,5.3240802602032674e-08,3.2720632053699985e-05
242,5.3144131090508125e-08,3.2641982852985794e-05
243,5.3144131090508125e-08,3.2641982852985794e-05
244,5.305749467353627e-08,3.259476084627672e-05
245,5.3232112594303805e-08,3.271177275557644e-05
246,5.325920255842181e-08,3.272476556500425e-05
247,5.319444541506745e-08,3.267359061834563e-05
248,5.321059877631926e-08,3.268299706048332e-05
249,5.317204480353508e-08,3.2661766565086165e-05
250,5.3078180903958285e-08,3.259898425224566e-05
251,5.314061605865262e-08,3.263066535962651e-05
252,5.317977011430824e-08,3.265454786738021e-05
253,5.317977011430824e-08,3.265454786738021e-05
254,5.325236183862017e-08,3.2701201314914037e-05
255,5.321651000965596e-08,3.268524303373676e-05
256,5.325419718317329e-08,3.2706186173256805e-05
257,5.3281795448378946e-08,3.27315890000664e-05
258,5.328146520324153e-08,3.2743662914829585e-05
259,5.328146520324153e-08,3.2743662914829585e-05
260,5.328718566755469e-08,3.2742876536882674e-05
261,5.330928601373188e-08,3.274148083744312e-05
262,5.330928601373188e-08,3.274148083744312e-05
263,5.330928601373188e-08,3.274148083744312e-05
264,5.335807939220536e-08,3.27844917017097e-05
265,5.335807939220536e-08,3.27844917017097e-05
266,5.3365542805344026e-08,3.277705169836668e-05
267,5.337428799367784e-08,3.2783444354438845e-05
268,5.338361250095419e-08,3.27978726608555e-05
269,5.3398789522155256e-08,3.281397088971029e-05
270,5.33881119376537e-08,3.27964405977113e-05
271,5.33881119376537e-08,3.27964405977113e-05
272,5.338411671868855e-08,3.279182800566548e-05
273,5.337661069759924e-08,3.278131121639167e-05
274,5.337661069759924e-08,3.278131121639167e-05
275,5.3370297289796977e-08,3.2782065981199697e-05
276,5.3357344769140456e-08,3.277278724174903e-05
277,5.3375449602325043e-08,3.279029424514274e-05
278,5.3375449602325043e-08,3.279029424514274e-05
279,5.3375449602325043e-08,3.279029424514274e-05
280,5.3375449602325043e-08,3.279029424514274e-05
281,5.3396586101077956e-08,3.2801892244044524e-05
282,5.339728506036451e-08,3.280516168522273e-05
283,5.337378820901029e-08,3.278853562618586e-05
284,5.337378820901029e-08,3.278853562618586e-05
285,5.33813635864512e-08,3.28045813044687e-05
286,5.337598650747313e-08,3.2789234676922515e-05
287,5.337598650747313e-08,3.2789234676922515e-05
288,5.3408170513496266e-08,3.2839763521310536e-05
289,5.3408170513496266e-08,3.2839763521310536e-05
290,5.340731481594913e-08,3.284039529871148e-05
291,5.338529419393577e-08,3.279563395185423e-05
292,5.338529419393577e-08,3.279563395185423e-05
293,5.338529419393577e-08,3.279563395185423e-05
