,a1,a3
90,299245.93065406126,35330.264010539446
91,299245.93065406126,35330.264010539446
92,299245.93065406126,35330.264010539446
93,299245.93065406126,35330.264010539446
94,299245.93065406126,35330.264010539446
95,299245.93065406126,35330.264010539446
96,407687.65713530843,51303.86990926089
97,481821.80220866,54373.45666139113
98,481821.80220866,54373.45666139113
99,952081.1594149818,120136.76155290742
100,485601.0689269232,62973.56575045026
101,485601.0689269232,62973.56575045026
102,485601.0689269232,62973.56575045026
103,485601.0689269232,62973.56575045026
104,794216.7297727511,88966.81070977519
105,794216.7297727511,88966.81070977519
106,958321.1882051767,129840.39860822813
107,859346.7107851274,120242.55181763315
108,859346.7107851274,120242.55181763315
109,859346.7107851274,120242.55181763315
110,533941.4842613573,62413.79493346137
111,533941.4842613573,62413.79493346137
112,901282.7014864221,99115.60321972605
113,901282.7014864221,99115.60321972605
114,901282.7014864221,99115.60321972605
115,901282.7014864221,99115.60321972605
116,901282.7014864221,99115.60321972605
117,880467.4269606657,116692.85164781059
118,880467.4269606657,116692.85164781059
119,949043.8607642304,117414.41485320608
120,816024.7541220908,96590.91106576617
121,703861.7263581804,89202.83433031343
122,703861.7263581804,89202.83433031343
123,703861.7263581804,89202.83433031343
124,703861.7263581804,89202.83433031343
125,703861.7263581804,89202.83433031343
126,703861.7263581804,89202.83433031343
127,703861.7263581804,89202.83433031343
128,703861.7263581804,89202.83433031343
129,703861.7263581804,89202.83433031343
130,703861.7263581804,89202.83433031343
131,704046.6474011005,89206.5189395323
132,704046.6474011005,89206.5189395323
133,704046.6474011005,89206.5189395323
134,704046.6474011005,89206.5189395323
135,704046.6474011005,89206.5189395323
136,704046.6474011005,89206.5189395323
137,482029.6199751511,59743.24058506389
138,482029.6199751511,59743.24058506389
139,482029.6199751511,59743.24058506389
140,482029.6199751511,59743.24058506389
141,482029.6199751511,59743.24058506389
142,467508.0216369606,54527.98262114243
143,467508.0216369606,54527.98262114243
144,467508.0216369606,54527.98262114243
145,518816.982978383,57140.26170541236
146,467155.9519927617,53465.28537145591
147,472647.0519402333,54385.83858634285
148,472647.0519402333,54385.83858634285
149,472647.0519402333,54385.83858634285
150,484764.30267799046,59264.41005858385
151,535239.4799505956,66499.52831464773
152,535239.4799505956,66499.52831464773
