,a1
233,0.005858344488247213
234,0.005858344488247213
235,0.005858344488247213
236,0.005858344488247213
237,0.005858344488247213
238,0.005858344488247213
239,0.005858344488247213
240,0.005858344488247213
241,0.005180652278916101
242,0.005180652278916101
243,0.005180652278916101
244,0.005180652278916101
245,0.005180652278916101
246,0.004694479251635583
247,0.004694479251635583
248,0.004694479251635583
249,0.004694479251635583
250,0.004694479251635583
251,0.004694479251635583
252,0.004694479251635583
253,0.004694479251635583
254,0.006750189620454669
255,0.005560688459401743
256,0.005560688459401743
257,0.005560688459401743
258,0.005560688459401743
259,0.005560688459401743
260,0.005560688459401743
261,0.005449172419721066
262,0.005449172419721066
263,0.005449172419721066
264,0.005449172419721066
265,0.005449172419721066
266,0.005449172419721066
267,0.005449172419721066
268,0.005449172419721066
269,0.005449172419721066
270,0.005053914630093565
271,0.005053914630093565
272,0.005053914630093565
273,0.005053914630093565
274,0.005053914630093565
275,0.005053914630093565
276,0.005053914630093565
277,0.005053914630093565
278,0.005053914630093565
279,0.005053914630093565
280,0.005053914630093565
281,0.005053914630093565
282,0.0061484154888770395
283,0.0061484154888770395
284,0.0061484154888770395
285,0.0062059265160229705
286,0.0062059265160229705
287,0.0062059265160229705
288,0.00580359461414671
289,0.005297930159091099
290,0.004941180576975629
291,0.004941180576975629
292,0.005022382073858343
293,0.007132168590309777
294,0.006164013596260445
295,0.006164013596260445
296,0.005616362580895841
297,0.005616362580895841
298,0.005616362580895841
299,0.005616362580895841
300,0.005616362580895841
301,0.0049499909291631896
302,0.0049499909291631896
303,0.0049499909291631896
304,0.006651636422709687
305,0.006651636422709687
306,0.006651636422709687
307,0.006651636422709687
308,0.006651636422709687
309,0.006661097248138541
310,0.005820523970456167
311,0.004972897901533148
312,0.007567556719556473
313,0.007567556719556473
314,0.00636134022719193
315,0.00636134022719193
316,0.00636134022719193
317,0.00636134022719193
318,0.00636134022719193
319,0.005333774162009862
320,0.005164488689496314
321,0.005164488689496314
322,0.005404092474374255
323,0.005404092474374255
324,0.005404092474374255
325,0.005404092474374255
326,0.005404092474374255
327,0.005404092474374255
328,0.005404092474374255
329,0.005404092474374255
330,0.005404092474374255
331,0.005404092474374255
332,0.005404092474374255
333,0.005404092474374255
334,0.005703704179527373
335,0.0071338091029245565
336,0.0071338091029245565
337,0.006312322200593046
338,0.006312322200593046
339,0.005982225768940268
340,0.005982225768940268
341,0.005904979682234951
342,0.005904979682234951
343,0.005904979682234951
344,0.005904979682234951
345,0.005904979682234951
346,0.005834985049405541
347,0.005834985049405541
348,0.005834985049405541
349,0.005834985049405541
350,0.006872381232171289
351,0.006216067451022734
352,0.006216067451022734
353,0.006216067451022734
354,0.007692827881385179
355,0.007692827881385179
356,0.0060313289249923005
357,0.0060313289249923005
358,0.0060313289249923005
359,0.0060313289249923005
360,0.007512773507248843
361,0.007700580804310428
362,0.005996726829548067
363,0.005996726829548067
364,0.0059814466513427745
365,0.0059814466513427745
366,0.005293970391677592
367,0.0055036048011278945
368,0.0055036048011278945
369,0.0055036048011278945
370,0.007404391407911767
371,0.007404391407911767
372,0.007404391407911767
373,0.005897893690640762
374,0.0050513996019545425
375,0.00524758326216545
376,0.00524758326216545
377,0.00524758326216545
378,0.004401413111684768
379,0.004401413111684768
380,0.004401413111684768
381,0.004401413111684768
382,0.004401413111684768
383,0.005317511181318884
384,0.005317511181318884
385,0.005317511181318884
386,0.0045123947455119875
387,0.0045123947455119875
388,0.004815140897491602
389,0.004815140897491602
390,0.006570442984398375
391,0.004816720312866734
392,0.006522524123857123
393,0.006522524123857123
394,0.006522524123857123
395,0.006522524123857123
396,0.006522524123857123
397,0.006522524123857123
398,0.0071144701468269875
399,0.0071144701468269875
400,0.0071144701468269875
401,0.0071144701468269875
402,0.0072192339500546585
403,0.007800835472070237
404,0.0065066048530708935
405,0.0065066048530708935
406,0.0065066048530708935
407,0.0065066048530708935
408,0.0065066048530708935
409,0.0070174203469915005
410,0.0070174203469915005
411,0.0070174203469915005
412,0.006380090190879177
413,0.0059676828292268775
414,0.007149890056208932
415,0.005176196313103216
416,0.005176196313103216
417,0.005176196313103216
418,0.005176196313103216
419,0.005176196313103216
420,0.005176196313103216
421,0.005176196313103216
422,0.005176196313103216
423,0.005176196313103216
424,0.005176196313103216
425,0.005176196313103216
426,0.005176196313103216
427,0.005176196313103216
428,0.004812911596945683
429,0.006264917426271199
430,0.006002471533642801
431,0.006002471533642801
432,0.004486375440600782
433,0.004486375440600782
434,0.004486375440600782
435,0.004486375440600782
436,0.005475569066372401
437,0.005475569066372401
438,0.007965730965232792
439,0.007965730965232792
440,0.007965730965232792
441,0.007965730965232792
442,0.005465115747321046
443,0.005465115747321046
444,0.005465115747321046
445,0.005465115747321046
446,0.005465115747321046
447,0.005465115747321046
448,0.005465115747321046
449,0.00578451979299521
450,0.00578451979299521
451,0.00578451979299521
452,0.00578451979299521
453,0.005606698101306574
454,0.005606698101306574
455,0.006051962028992458
456,0.006051962028992458
457,0.006051962028992458
458,0.007219943143100976
459,0.007219943143100976
460,0.007219943143100976
461,0.005466056375972746
462,0.005466056375972746
463,0.006243461337085276
464,0.006243461337085276
465,0.005711233998562749
466,0.00610737506084042
467,0.00610737506084042
468,0.00610737506084042
469,0.006695428924584482
470,0.006695428924584482
471,0.006695428924584482
472,0.005541756265431714
473,0.005541756265431714
474,0.006489529509271167
475,0.0060182808129810176
476,0.0060182808129810176
477,0.0060182808129810176
478,0.0060182808129810176
479,0.0060182808129810176
480,0.0060182808129810176
481,0.0060182808129810176
482,0.0060182808129810176
483,0.0060182808129810176
