,r1,a_PR,e
4469,8.0619376215765,1.1400736425917468,0.00011319119751752266
4470,8.0619376215765,1.1400736425917468,0.00011319119751752266
4471,8.0619376215765,1.1400736425917468,0.00011319119751752266
4472,8.0619376215765,1.1400736425917468,0.00011319119751752266
4473,8.0619376215765,1.1400736425917468,0.00011319119751752266
4474,8.0619376215765,1.1400736425917468,0.00011319119751752266
4475,8.0619376215765,1.1400736425917468,0.00011319119751752266
4476,8.0619376215765,1.1400736425917468,0.00011319119751752266
4477,8.0619376215765,1.1400736425917468,0.00011319119751752266
4478,7.921836920953311,1.119604547969642,0.00012043918572252097
4479,7.921836920953311,1.119604547969642,0.00012043918572252097
4480,7.442937368954757,1.052235333202566,0.00010282042043163328
4481,6.223148627216302,0.8777736994467833,8.466761795692869e-05
4482,6.223148627216302,0.8777736994467833,8.466761795692869e-05
4483,6.223148627216302,0.8777736994467833,8.466761795692869e-05
4484,6.223148627216302,0.8777736994467833,8.466761795692869e-05
4485,6.223148627216302,0.8777736994467833,8.466761795692869e-05
4486,6.223148627216302,0.8777736994467833,8.466761795692869e-05
4487,7.127232299005309,1.006459003291853,8.377332146752732e-05
4488,8.051935732019661,1.1385069467490738,0.00010137512368282562
4489,8.051935732019661,1.1385069467490738,0.00010137512368282562
4490,8.051935732019661,1.1385069467490738,0.00010137512368282562
4491,8.051935732019661,1.1385069467490738,0.00010137512368282562
4492,8.051935732019661,1.1385069467490738,0.00010137512368282562
4493,6.339929693571859,0.8934060684970268,9.391839119508935e-05
4494,6.339929693571859,0.8934060684970268,9.391839119508935e-05
4495,6.339929693571859,0.8934060684970268,9.391839119508935e-05
4496,7.703998992387211,1.0888420586510972,0.0001152427758814924
4497,7.380159174529491,1.0438371460991784,0.00010559400255900697
4498,7.380159174529491,1.0438371460991784,0.00010559400255900697
4499,7.380159174529491,1.0438371460991784,0.00010559400255900697
